time,speed,y4,y6,y8,y10,eps4,eps6,eps8,eps10,sigma_y4,sigma_y6,sigma_y8,sigma_y10,sigma_eps4,sigma_eps6,sigma_eps8,sigma_eps10,K4,K6,K8,K10,delta_f,L
0.98,3.73764221539602E-07,-0.008617971571108,-0.008592984425486,-0.008567997280657,-0.008543010134312,1.24935728940344E-05,1.24935728940344E-05,1.24935728940344E-05,1.24935728940344E-05,0.0010080776,0.0010075298,0.0010169877,0.0010236495,0.0010019214,0.0010222694,0.0010047652,0.0010126709,0,0,0,0,-0.000637496634294,8
1,3.62072033268615E-07,-0.008617970428775,-0.008592982711967,-0.008567994996767,-0.008543007279157,1.24938572541032E-05,1.24938572541032E-05,1.24938572541032E-05,1.24938572541032E-05,0.0010078951,0.0010076632,0.0010168749,0.0010229055,0.0010018934,0.0010224793,0.0010045675,0.0010123336,0,0,0,0,-0.00080119660861,8
1.02,3.80885026636845E-07,-0.008618447265619,-0.008593459549123,-0.008568471833595,-0.008543484116062,1.24938572541032E-05,1.24938572541032E-05,1.24938572541032E-05,1.24938572541032E-05,0.0010075691,0.0010074482,0.0010161062,0.0010219478,0.0010017868,0.0010215744,0.0010044385,0.0010118373,0,0,0,0,-0.001473855952016,8
1.04,3.54535250428992E-07,-0.008618447265619,-0.008593459549123,-0.008568471833595,-0.008543484116062,1.24938572541032E-05,1.24938572541032E-05,1.24938572541032E-05,1.24938572541032E-05,0.0010083838,0.0010083799,0.0010175522,0.001025434,0.0010019934,0.0010231995,0.001004992,0.0010130748,0,0,0,0,-0.001240639197602,8
1.06,3.60062460809164E-07,-0.008618924102875,-0.008593936386331,-0.008568948670423,-0.008543960953642,1.24938572541032E-05,1.24938572541032E-05,1.24938572541032E-05,1.24938572541032E-05,0.0010081484,0.0010074567,0.001016906,0.0010228013,0.0010019215,0.0010221964,0.0010046625,0.0010124933,0,0,0,0,-0.001527593728188,8
1.08,3.5821959077606E-07,-0.008618922891419,-0.008593934569756,-0.00856894624748,-0.008543957924682,1.24941593795851E-05,1.24941593795851E-05,1.24941593795851E-05,1.24941593795851E-05,0.0010084003,0.0010079342,0.0010174379,0.0010245452,0.0010019471,0.0010230773,0.001004918,0.0010131454,0,0,0,0,-0.001069363014373,8
1.1,3.13827538934797E-07,-0.008619399728537,-0.008594411407117,-0.008569423085272,-0.008544434760509,1.24941593795851E-05,1.24941593795851E-05,1.24941593795851E-05,1.24941593795851E-05,0.0010082409,0.0010076644,0.0010173045,0.0010237305,0.0010019522,0.0010225924,0.0010048366,0.0010128195,0,0,0,0,-0.001263167140426,8
1.12,3.02467487809468E-07,-0.008619399728537,-0.008594411407117,-0.008569423085272,-0.008544434760509,1.24941593795851E-05,1.24941593795851E-05,1.24941593795851E-05,1.24941593795851E-05,0.0010076554,0.001007407,0.0010164239,0.0010226761,0.0010018201,0.0010216301,0.0010045375,0.0010120813,0,0,0,0,-0.001025865451414,8
1.14,3.23193402590803E-07,-0.008620353403187,-0.008595365081063,-0.00857037675754,-0.008545388436787,1.24941593795851E-05,1.24941593795851E-05,1.24941593795851E-05,1.24941593795851E-05,0.0010080684,0.0010077322,0.0010169431,0.00102376,0.00100191,0.0010223795,0.0010047492,0.0010126357,0,0,0,0,-0.000886327905782,8
1.16,3.02702529244901E-07,-0.008620352297437,-0.008595363422424,-0.008570374547242,-0.008545385672073,1.24944437263062E-05,1.24944437263062E-05,1.24944437263062E-05,1.24944437263062E-05,0.0010077369,0.0010077504,0.0010164805,0.001022918,0.0010018611,0.001022087,0.0010045348,0.0010120881,0,0,0,0,-0.001079630606504,8
1.18,0.001122084238607,-0.008618921785486,-0.00859393291084,-0.008568944036813,-0.008543955162104,1.24944437263062E-05,1.24944437263062E-05,1.24944437263062E-05,1.24944437263062E-05,0.0010076147,0.001007529,0.0010163246,0.0010221719,0.001001818,0.0010218603,0.0010044355,0.0010119505,0,0,0,0,-0.001288059341731,8
1.2,0.298750672256548,-0.008606050553716,-0.008574864481087,-0.008543678409951,-0.00851249233654,1.55930310445442E-05,1.55930310445442E-05,1.55930310445442E-05,1.55930310445442E-05,0.0010083818,0.0010081462,0.0010175225,0.0010248321,0.0010019981,0.0010232073,0.0010049819,0.001013101,0,0,0,0,-0.001258137953162,8
1.22,0.571444824320871,-0.008554189054567,-0.008499456420053,-0.008444723784893,-0.00838999115038,2.73663182435445E-05,2.73663182435445E-05,2.73663182435445E-05,2.73663182435445E-05,0.0010080115,0.001007494,0.0010161902,0.0010226143,0.0010019009,0.0010218609,0.0010046033,0.001012413,0,0,0,0,-0.001736583340111,8
1.24,0.820008418160008,-0.008492557177853,-0.008408439119006,-0.008324321060783,-0.008240203001349,4.20590309943441E-05,4.20590309943441E-05,4.20590309943441E-05,4.20590309943441E-05,0.0010085456,0.0010069369,0.0010159907,0.0010221571,0.0010020386,0.0010213661,0.0010049337,0.0010126899,0,0,0,0,-0.001081396724514,8
1.26,1.04639377594815,-0.00843026016482,-0.008315708857767,-0.00820115755035,-0.008086606242314,5.72756539795062E-05,5.72756539795062E-05,5.72756539795062E-05,5.72756539795062E-05,0.0010081229,0.0010055241,0.0010138083,0.0010196451,0.001001976,0.0010188,0.0010045732,0.0010121954,0,0,0,0,-0.000704917682651,8
1.28,1.25301092440285,-0.008351719638693,-0.00820171277146,-0.0080517059036,-0.007901699035309,7.50034343710073E-05,7.50034343710073E-05,7.50034343710073E-05,7.50034343710073E-05,0.0010069764,0.001005177,0.0010117032,0.0010167299,0.0010017917,0.0010172784,0.0010040397,0.0010112227,0,0,0,0,-0.001169706109621,8
1.3,1.44234101320783,-0.008282003563123,-0.008099761267511,-0.007917518972131,-0.007735276677217,9.11211477966037E-05,9.11211477966037E-05,9.11211477966037E-05,9.11211477966037E-05,0.0010070697,0.0010047993,0.0010107767,0.0010147667,0.0010017809,0.0010167194,0.001003799,0.0010108562,0,0,0,0,-0.000520998448343,8
1.32,1.61672867546682,-0.008233064448743,-0.008026352600982,-0.007819640753471,-0.007612928904095,0.000103355923568,0.000103355923568,0.000103355923568,0.000103355923568,0.0010066997,0.001005331,0.0010115808,0.0010127561,0.0010015183,0.0010195585,0.0010033562,0.0010109969,0,0,0,0,-2.34379162832908E-05,8
1.34,1.77830647800409,-0.008197563780153,-0.007972147928476,-0.007746732076085,-0.007521316224808,0.000112707926093,0.000112707926093,0.000112707926093,0.000112707926093,0.0010062518,0.0010048875,0.0010107172,0.0010116501,0.0010014484,0.0010184399,0.0010031245,0.0010103805,0,0,0,0,9.84791776085891E-05,8
1.36,1.92920489357333,-0.008182084864956,-0.007945353279696,-0.007708621696218,-0.007471890109962,0.000118365792389,0.000118365792389,0.000118365792389,0.000118365792389,0.0010058006,0.0010047365,0.0010098516,0.0010107431,0.0010013605,0.0010177385,0.0010028647,0.0010096077,0,0,0,0,0.000472011021154,8
1.38,2.07104913613657,-0.008181452644301,-0.007939874997067,-0.007698297349774,-0.007456719701805,0.00012078882374,0.00012078882374,0.00012078882374,0.00012078882374,0.0010051167,0.0010043287,0.0010089962,0.0010094664,0.0010011703,0.0010166133,0.0010024899,0.0010086334,0,0,0,0,0.000615572876637,8
1.4,2.20506792983371,-0.008228484049525,-0.007998501172517,-0.007768518297204,-0.00753853541863,0.000114991438408,0.000114991438408,0.000114991438408,0.000114991438408,0.0010051902,0.0010043216,0.0010087177,0.0010092114,0.0010011095,0.0010165971,0.001002467,0.001008376,0,0,0,0,0.00160331101545,8
1.42,2.33235891912299,-0.008282414270023,-0.008068190826989,-0.007853967384374,-0.007639743939455,0.000107111721331,0.000107111721331,0.000107111721331,0.000107111721331,0.0010052877,0.0010041472,0.0010082723,0.0010088418,0.0010010905,0.0010161754,0.0010024903,0.0010081509,0,0,0,0,0.001031916121226,8
1.44,2.45387831573213,-0.008307164073441,-0.008099831903397,-0.007892499733784,-0.007685167562571,0.00010366608476,0.00010366608476,0.00010366608476,0.00010366608476,0.0010051324,0.0010042426,0.0010072336,0.0010094125,0.001001113,0.0010152023,0.0010024821,0.0010077236,0,0,0,0,0.000291461011632,8
1.46,2.57045640086969,-0.008333557527616,-0.008132507944061,-0.007931458362644,-0.00773040877671,0.000100524791815,0.000100524791815,0.000100524791815,0.000100524791815,0.0010054462,0.0010043728,0.001007104,0.0010099561,0.00100118,0.0010154103,0.0010026257,0.001007986,0,0,0,0,0.000698861181484,8
